restaurant_id,name,city,locality,restaurant_type,cuisine,rating,votes,price_range,avg_cost_for_two,online_delivery,table_booking,opening_year,is_active
1,Sandhu's Dhaba,Bangalore,Indiranagar,Sweet Shop,Burger,3.8,907,3,806,1,1,2010,1
2,Bhargava's Dhaba,Mumbai,Colaba,Quick Bites,Continental,4.2,44,1,125,1,1,2011,1
3,Gour's Bistro,Mumbai,Malad,Dhaba,South Indian,5.0,14,1,226,1,0,2012,1
4,Nadig's Corner,Mumbai,Juhu,Quick Bites,Punjabi,4.0,43,1,189,0,0,2014,1
5,Bhargava's Express,Ahmedabad,Paldi,Fine Dining,Fast Food,2.8,27,1,174,1,0,2023,1
6,Dani's Corner,Pune,Baner,Cafe,Fast Food,3.8,250,3,712,1,0,2020,1
7,Sagar's Express,Mumbai,Bandra,Cafe,Italian,4.5,1358,1,162,0,0,2015,1
8,Panchal's Cafe,Hyderabad,Madhapur,Casual Dining,Punjabi,4.0,76,2,431,1,1,2015,1
9,Ray's Kitchen,Mumbai,Bandra,Bar,Burger,4.5,59,3,985,1,0,2019,1
10,Khosla's Corner,Hyderabad,Jubilee Hills,Food Court,Burger,2.7,606,4,1005,1,1,2012,1
11,Doshi's Cafe,Mumbai,Malad,Quick Bites,Punjabi,4.7,43,3,720,1,0,2016,1
12,Bhandari's Garden,Delhi,Karol Bagh,Bar,Biryani,5.0,355,3,772,1,0,2019,1
13,Karpe's Bistro,Ahmedabad,Navrangpura,Fine Dining,North Indian,4.1,68,3,749,1,0,2010,1
14,Chandra's Express,Delhi,Saket,Quick Bites,Seafood,4.5,15,2,497,1,0,2010,1
15,Jhaveri's Corner,Mumbai,Colaba,Dhaba,Burger,3.6,49,1,166,1,1,2013,1
16,Dubey's Garden,Delhi,Karol Bagh,Dhaba,Beverages,2.9,541,3,779,1,0,2011,1
17,Sehgal's Corner,Mumbai,Worli,Food Court,Beverages,4.0,496,3,957,1,0,2021,1
18,Pant's House,Mumbai,Colaba,Cloud Kitchen,South Indian,3.6,650,3,988,0,0,2010,1
19,Kumer's Garden,Mumbai,Worli,Sweet Shop,Street Food,3.9,73,2,383,1,1,2016,1
20,Kannan's Cafe,Pune,Kothrud,Bakery,Rajasthani,3.4,7,2,404,1,0,2010,1
21,Trivedi's Dhaba,Chennai,T Nagar,Casual Dining,Beverages,4.6,717,3,910,1,0,2023,0
22,Kapoor's Palace,Delhi,Dwarka,Cloud Kitchen,Chinese,5.0,89,3,896,1,0,2015,1
23,Choudhary's Dhaba,Mumbai,Andheri,Sweet Shop,Beverages,3.3,11,1,180,1,1,2019,1
24,Bajwa's Dhaba,Mumbai,Bandra,Fine Dining,South Indian,4.5,443,1,209,1,0,2017,1
25,D’Alia's Junction,Ahmedabad,SG Highway,Cafe,South Indian,4.9,37,2,357,1,1,2012,1
26,Raman's Dhaba,Chennai,Anna Nagar,Sweet Shop,Cafe,4.3,67,1,216,1,0,2012,1
27,Raju's Kitchen,Mumbai,Malad,Dhaba,Bengali,4.7,331,1,248,0,0,2013,1
28,Barman's Dhaba,Kolkata,New Town,Dhaba,Continental,2.7,121,3,905,1,1,2019,1
29,Setty's Corner,Pune,Viman Nagar,Sweet Shop,South Indian,2.4,25,3,518,1,0,2023,1
30,Merchant's Palace,Bangalore,Whitefield,Bar,Fast Food,3.0,56,1,118,0,0,2015,1
31,Saxena's Garden,Kolkata,Salt Lake,Quick Bites,Punjabi,3.6,189,3,827,1,1,2015,1
32,Gulati's Cafe,Delhi,Connaught Place,Casual Dining,Mughlai,3.9,143,3,821,1,0,2019,1
33,Ghosh's Corner,Pune,Baner,Fine Dining,Pizza,4.0,22,4,2914,0,0,2020,1
34,Bedi's Bistro,Ahmedabad,Paldi,Cloud Kitchen,Biryani,3.9,1276,3,609,1,1,2013,1
35,Sidhu's Garden,Hyderabad,Banjara Hills,Fine Dining,North Indian,3.7,311,2,257,1,0,2023,1
36,Sem's Garden,Mumbai,Worli,Sweet Shop,Continental,4.1,540,3,932,1,0,2023,1
37,Patel's Express,Mumbai,Dadar,Cloud Kitchen,Mughlai,4.0,527,2,315,0,0,2016,1
38,Dixit's Kitchen,Hyderabad,Kukatpally,Fine Dining,Rolls & Wraps,4.2,397,2,462,0,0,2011,0
39,Singh's Corner,Bangalore,HSR Layout,Cloud Kitchen,North Indian,4.1,32,2,471,0,1,2012,1
40,Behl's Express,Mumbai,Dadar,Dhaba,Beverages,3.0,87,3,736,1,0,2018,1
41,Cherian's Kitchen,Mumbai,Colaba,Cafe,Beverages,4.9,114,3,871,0,1,2010,1
42,Dhaliwal's House,Bangalore,Jayanagar,Food Court,Cafe,4.0,7,4,1014,1,0,2015,1
43,Bora's Corner,Delhi,Saket,Quick Bites,Beverages,3.9,168,4,2484,1,0,2018,1
44,Sanghvi's Dhaba,Delhi,Hauz Khas,Bar,Chinese,1.9,229,1,125,1,0,2017,1
45,Wagle's Cafe,Delhi,Janakpuri,Casual Dining,Burger,2.6,49,1,181,1,0,2021,1
46,Sheth's Garden,Mumbai,Bandra,Bar,Pizza,4.5,187,1,196,1,0,2022,1
47,Nigam's Bistro,Bangalore,Koramangala,Cafe,Biryani,3.5,66,2,433,1,1,2012,1
48,Ram's Express,Ahmedabad,Paldi,Fine Dining,Punjabi,3.5,188,2,431,1,0,2021,1
49,Patil's Dhaba,Bangalore,Yelahanka,Cloud Kitchen,Rajasthani,3.0,801,4,1911,1,0,2014,1
50,Dash's Garden,Chennai,OMR,Sweet Shop,Bengali,3.0,11,2,477,1,0,2016,1
51,Yadav's Bistro,Pune,Baner,Cloud Kitchen,Desserts,4.5,77,2,347,0,0,2015,1
52,Kulkarni's House,Chennai,Velachery,Bakery,Bengali,3.8,396,2,468,1,0,2018,0
53,Muni's Kitchen,Delhi,Lajpat Nagar,Quick Bites,Punjabi,3.3,182,1,120,1,0,2010,1
54,Chaudhry's Express,Mumbai,Dadar,Quick Bites,South Indian,4.3,1745,2,444,1,1,2013,1
55,Mital's Kitchen,Chennai,OMR,Dhaba,South Indian,3.4,74,2,257,1,1,2018,1
56,Pai's Kitchen,Bangalore,Jayanagar,Cloud Kitchen,Punjabi,4.2,202,1,132,1,0,2016,1
57,Kota's Cafe,Bangalore,Whitefield,Dhaba,Biryani,3.7,1618,1,157,1,0,2011,1
58,Bhargava's Express,Mumbai,Dadar,Quick Bites,Burger,2.6,17,3,639,0,0,2021,1
59,Bir's Dhaba,Kolkata,Dum Dum,Dhaba,Fast Food,2.6,900,3,698,0,1,2021,1
60,Sangha's Bistro,Pune,Viman Nagar,Bar,Biryani,4.2,18,2,475,1,0,2011,1
61,Pau's Garden,Bangalore,HSR Layout,Fine Dining,North Indian,3.7,142,2,337,0,1,2010,1
62,Soman's Palace,Mumbai,Andheri,Dhaba,Italian,2.3,196,3,657,0,0,2012,1
63,Wali's Palace,Delhi,Connaught Place,Cafe,Seafood,3.0,428,2,338,0,0,2016,1
64,Lala's Corner,Kolkata,New Town,Casual Dining,North Indian,3.0,206,4,2146,0,0,2011,1
65,Narang's Kitchen,Bangalore,Whitefield,Cloud Kitchen,Biryani,4.7,640,3,597,1,1,2014,1
66,Raman's Express,Pune,Aundh,Fine Dining,Chinese,4.2,131,3,837,1,0,2010,1
67,Kala's House,Pune,Kothrud,Bar,Rajasthani,2.7,76,1,203,1,1,2016,1
68,Date's Cafe,Mumbai,Bandra,Sweet Shop,Chinese,3.6,94,3,692,1,0,2022,1
69,Setty's Junction,Mumbai,Andheri,Sweet Shop,Pizza,2.7,284,2,270,1,0,2011,0
70,Bhattacharyya's Express,Delhi,Connaught Place,Dhaba,Continental,3.0,1508,2,342,1,0,2018,1
71,Choudhury's Corner,Mumbai,Dadar,Bakery,Rolls & Wraps,3.9,644,3,905,1,1,2011,1
72,Narula's Bistro,Mumbai,Juhu,Quick Bites,Punjabi,4.5,3350,3,777,1,1,2016,1
73,Chahal's Express,Bangalore,Jayanagar,Food Court,Burger,3.9,82,1,178,1,0,2012,1
74,Dayal's Dhaba,Hyderabad,Secunderabad,Cafe,South Indian,3.5,1399,2,400,1,0,2021,1
75,Dalal's Corner,Chennai,T Nagar,Fine Dining,Burger,2.9,39,2,329,0,0,2022,1
76,Pal's Kitchen,Mumbai,Malad,Cloud Kitchen,Punjabi,4.0,118,4,1250,1,1,2014,1
77,Dhawan's Cafe,Chennai,Velachery,Fine Dining,Rajasthani,4.5,19,3,615,0,1,2019,1
78,Ramakrishnan's House,Chennai,Velachery,Quick Bites,Desserts,3.8,112,1,121,0,0,2010,0
79,Swamy's Bistro,Kolkata,New Town,Dhaba,Punjabi,3.0,554,4,2782,1,0,2019,1
80,Korpal's Cafe,Hyderabad,HITEC City,Bakery,Cafe,3.7,121,3,962,1,1,2016,1
81,Bail's Corner,Chennai,Porur,Bakery,Continental,3.2,85,1,160,0,1,2020,1
82,Sharma's House,Kolkata,Ballygunge,Cloud Kitchen,Healthy Food,3.1,542,2,306,1,0,2019,1
83,Sangha's Garden,Chennai,Anna Nagar,Fine Dining,North Indian,4.5,1844,4,2555,1,0,2011,1
84,Mutti's Express,Bangalore,HSR Layout,Quick Bites,North Indian,4.1,89,4,1890,1,0,2022,1
85,Gour's Junction,Mumbai,Powai,Dhaba,Beverages,3.5,309,3,972,1,0,2014,1
86,Sunder's Bistro,Pune,Baner,Cafe,North Indian,3.9,114,2,372,1,0,2016,1
87,Chaudhry's Junction,Ahmedabad,Paldi,Fine Dining,Italian,3.6,859,3,762,1,0,2011,1
88,Dhar's Cafe,Pune,Kothrud,Casual Dining,Biryani,3.5,1118,3,514,0,0,2022,1
89,Rama's House,Chennai,T Nagar,Quick Bites,Burger,3.9,85,3,835,1,1,2014,1
90,Prashad's House,Delhi,Karol Bagh,Food Court,North Indian,3.3,117,2,451,1,0,2014,1
91,Parmar's Junction,Hyderabad,Banjara Hills,Fine Dining,Biryani,4.2,84,1,157,1,0,2013,1
92,Bandi's Dhaba,Bangalore,Koramangala,Cloud Kitchen,North Indian,4.4,78,2,306,1,0,2017,1
93,Dua's Express,Mumbai,Worli,Cloud Kitchen,Beverages,3.7,21,2,305,0,0,2023,1
94,Rai's Garden,Pune,Viman Nagar,Sweet Shop,Seafood,4.2,99,3,544,1,0,2019,1
95,Chandra's Garden,Mumbai,Worli,Cafe,Beverages,4.9,427,4,2280,1,1,2014,1
96,Nagy's Palace,Hyderabad,HITEC City,Dhaba,Cafe,3.9,932,1,240,0,1,2019,0
97,Chahal's Palace,Mumbai,Dadar,Food Court,Biryani,4.1,673,1,229,0,1,2016,1
98,Bhandari's House,Delhi,Janakpuri,Quick Bites,Chinese,3.2,296,2,423,0,0,2010,1
99,Dua's Kitchen,Bangalore,BTM Layout,Cafe,Burger,4.2,14,1,142,0,1,2022,0
100,Loyal's Corner,Bangalore,BTM Layout,Cafe,Punjabi,4.9,26,1,113,1,0,2018,1
101,Ramanathan's Express,Chennai,Porur,Quick Bites,Biryani,2.9,2,1,214,0,0,2017,1
102,Hegde's Dhaba,Bangalore,BTM Layout,Sweet Shop,Chinese,4.1,12,2,456,1,0,2020,1
103,Pandya's Palace,Mumbai,Malad,Fine Dining,Pizza,3.4,521,2,382,1,0,2023,1
104,Maharaj's Bistro,Delhi,Connaught Place,Bar,Healthy Food,3.9,58,3,688,1,0,2017,1
105,Sarraf's Dhaba,Mumbai,Malad,Cafe,Mughlai,2.7,126,2,467,1,1,2013,1
106,Ranganathan's Bistro,Bangalore,HSR Layout,Fine Dining,Street Food,4.4,424,1,248,1,0,2015,1
107,Raj's Express,Delhi,Janakpuri,Cloud Kitchen,Continental,5.0,55,2,325,1,1,2010,1
108,Jaggi's Palace,Delhi,Rohini,Sweet Shop,Healthy Food,2.9,236,4,2511,0,0,2018,1
109,Warrior's Corner,Mumbai,Colaba,Quick Bites,Rajasthani,3.9,147,2,408,1,0,2015,0
110,Ben's Bistro,Hyderabad,Secunderabad,Bakery,Burger,3.3,2,2,495,1,0,2023,0
111,Bali's Kitchen,Kolkata,Ballygunge,Quick Bites,Burger,3.1,342,4,1604,1,0,2011,1
112,Srinivas's Cafe,Pune,Koregaon Park,Cloud Kitchen,Street Food,4.0,631,2,339,1,0,2013,1
113,Iyer's Garden,Mumbai,Juhu,Fine Dining,Burger,4.0,447,3,518,0,0,2022,1
114,Brar's Junction,Chennai,Velachery,Cloud Kitchen,Healthy Food,4.3,153,2,306,1,0,2013,1
115,Patla's Bistro,Chennai,Adyar,Food Court,Burger,3.8,1,4,1120,1,1,2014,1
116,Bandi's Kitchen,Hyderabad,HITEC City,Cafe,Fast Food,3.3,59,2,477,1,1,2010,1
117,Sundaram's House,Delhi,Dwarka,Casual Dining,Burger,3.7,36,3,740,1,0,2022,1
118,Baral's Palace,Pune,Baner,Cafe,Cafe,4.5,39,1,220,0,1,2023,1
119,Raval's Dhaba,Bangalore,Jayanagar,Bar,Burger,4.6,35,3,742,0,0,2011,1
120,Krishna's House,Delhi,Karol Bagh,Cloud Kitchen,Seafood,3.4,53,4,2110,1,0,2010,1
121,Lad's Cafe,Bangalore,Koramangala,Food Court,Desserts,3.5,869,2,380,1,1,2020,1
122,Singhal's Kitchen,Hyderabad,Secunderabad,Food Court,South Indian,3.6,94,3,517,0,1,2018,1
123,Patla's Bistro,Bangalore,Yelahanka,Bakery,Italian,3.3,100,2,341,0,1,2010,1
124,Chakrabarti's Garden,Pune,Aundh,Dhaba,Healthy Food,4.0,107,2,261,0,0,2010,1
125,Khare's House,Mumbai,Malad,Bakery,Chinese,3.7,681,2,375,0,0,2017,1
126,Swaminathan's House,Mumbai,Worli,Casual Dining,Mughlai,4.0,26,3,533,0,0,2011,1
127,Ravi's Kitchen,Kolkata,New Town,Bar,Mughlai,3.7,66,2,274,1,0,2014,1
128,Sawhney's Bistro,Mumbai,Bandra,Food Court,Chinese,4.2,173,1,176,1,0,2016,1
129,Dhawan's Bistro,Delhi,Hauz Khas,Casual Dining,Bengali,4.6,48,3,943,1,0,2019,1
130,Thakkar's Dhaba,Hyderabad,Gachibowli,Bar,Bengali,3.7,30,1,111,1,0,2018,1
131,Koshy's Junction,Hyderabad,Kukatpally,Dhaba,Pizza,3.8,14,3,694,0,0,2022,1
132,Koshy's Garden,Hyderabad,Banjara Hills,Cafe,Italian,4.0,136,3,677,0,1,2012,1
133,Joshi's Junction,Mumbai,Malad,Cloud Kitchen,Bengali,3.9,484,2,312,1,0,2023,1
134,Tata's Bistro,Hyderabad,Kukatpally,Bakery,North Indian,4.0,21,1,182,1,0,2017,1
135,Sarin's Bistro,Pune,Kothrud,Cloud Kitchen,Rolls & Wraps,3.4,131,2,317,1,0,2014,1
136,Krishna's Junction,Mumbai,Malad,Quick Bites,Healthy Food,3.6,108,2,487,0,1,2022,1
137,Bajwa's Cafe,Bangalore,Marathahalli,Dhaba,Rajasthani,4.9,172,1,120,1,1,2020,1
138,Roy's Express,Delhi,Janakpuri,Quick Bites,Biryani,4.1,7,2,338,1,0,2018,1
139,Narula's Express,Hyderabad,Banjara Hills,Bakery,Desserts,4.3,10699,2,301,1,0,2018,1
140,Palla's Palace,Hyderabad,Banjara Hills,Fine Dining,North Indian,4.7,76,3,677,0,0,2017,1
141,Pillai's Bistro,Mumbai,Dadar,Casual Dining,Burger,5.0,154,3,653,1,0,2022,1
142,Nagar's Palace,Kolkata,Tollygunge,Cloud Kitchen,Pizza,4.0,99,3,828,1,0,2014,1
143,Sarna's Bistro,Hyderabad,Kukatpally,Casual Dining,South Indian,3.6,5,3,628,1,0,2011,1
144,Mangat's Express,Kolkata,Tollygunge,Bakery,Fast Food,4.4,95,3,996,1,0,2015,1
145,Dhingra's Express,Chennai,Mylapore,Bakery,Continental,3.7,223,3,983,1,0,2014,1
146,Kashyap's Bistro,Delhi,Rohini,Quick Bites,Healthy Food,3.5,220,2,391,1,0,2015,1
147,Keer's House,Mumbai,Bandra,Dhaba,Chinese,4.6,272,2,431,1,0,2015,1
148,Mangat's House,Mumbai,Bandra,Cafe,Punjabi,3.7,123,1,155,1,0,2010,1
149,Sachar's Cafe,Delhi,Connaught Place,Sweet Shop,Seafood,3.9,42,2,353,1,0,2013,1
150,Yogi's House,Bangalore,Koramangala,Cloud Kitchen,Rajasthani,3.9,414,4,1489,0,0,2011,1
151,Chander's Dhaba,Pune,Hinjewadi,Casual Dining,Desserts,3.9,78,2,389,1,1,2015,1
152,Krish's Corner,Delhi,Dwarka,Cloud Kitchen,Mughlai,3.6,394,2,331,1,0,2020,1
153,Chad's House,Pune,Baner,Fine Dining,Mughlai,3.0,43,2,258,1,0,2014,1
154,Bajwa's Express,Bangalore,Whitefield,Cloud Kitchen,Pizza,2.7,156,4,2967,1,0,2017,1
155,Samra's Palace,Pune,Hadapsar,Dhaba,South Indian,4.4,1093,2,471,1,0,2022,1
