feature,importance
recency,0.9414316580385196
frequency,0.022056724525958468
monetary,0.012631955935351989
avg_order_value,0.004479580328643089
review_count,0.004292224717613542
avg_discount,0.0034883184257507587
avg_delivery_time,0.00331516088606934
delay_rate,0.002534592116382162
age,0.002038602992030272
avg_rating,0.0013051652858875017
occupation_enc,0.0008235120422207284
marital_enc,0.0005093520161157733
gender_enc,0.0005008873581027128
neg_reviews,0.0003568959049172624
is_gold_member,0.0002353694264368277
